Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeOdd,AwayOdd,Game_Code,HomeTeamShort,VisitorTeamShort
2018-10-21,Oklahoma City Thunder,Sacramento Kings,120,131,1.14,6.18,21102018_sac_okc,okc,sac
2018-10-22,Boston Celtics,Orlando Magic,90,93,1.11,7.02,22102018_orl_bos,bos,orl
2018-10-22,Dallas Mavericks,Chicago Bulls,115,109,1.47,2.73,22102018_chi_dal,dal,chi
2018-10-22,Golden State Warriors,Phoenix Suns,123,103,1.09,8.29,22102018_phx_gs,gs,phx
2018-10-22,Los Angeles Lakers,San Antonio Spurs,142,143,1.84,1.98,22102018_sa_lal,lal,sa
2018-10-22,Milwaukee Bucks,New York Knicks,124,113,1.12,6.53,22102018_ny_mil,mil,ny
2018-10-22,Minnesota Timberwolves,Indiana Pacers,101,91,1.75,2.13,22102018_ind_min,min,ind
2018-10-22,Portland Trail Blazers,Washington Wizards,124,125,1.51,2.65,22102018_wsh_por,por,wsh
2018-10-22,Toronto Raptors,Charlotte Hornets,127,106,1.23,4.3,22102018_cha_tor,tor,cha
2018-10-22,Utah Jazz,Memphis Grizzlies,84,92,1.17,5.43,22102018_mem_uta,uta,mem
2018-10-23,Denver Nuggets,Sacramento Kings,126,112,1.12,6.88,23102018_sac_den,den,sac
2018-10-23,Detroit Pistons,Philadelphia 76ers,133,132,1.95,1.88,23102018_phi_det,det,phi
2018-10-23,New Orleans Pelicans,Los Angeles Clippers,116,109,1.42,2.92,23102018_lac_no,no,lac
2018-10-24,Atlanta Hawks,Dallas Mavericks,111,104,2.06,1.79,24102018_dal_atl,atl,dal
2018-10-24,Chicago Bulls,Charlotte Hornets,112,110,2.61,1.51,24102018_cha_chi,chi,cha
2018-10-24,Cleveland Cavaliers,Brooklyn Nets,86,102,1.66,2.27,24102018_bkn_cle,cle,bkn
2018-10-24,Golden State Warriors,Washington Wizards,144,122,1.17,5.25,24102018_wsh_gs,gs,wsh
2018-10-24,Houston Rockets,Utah Jazz,89,100,1.86,1.98,24102018_uta_hou,hou,uta
2018-10-24,Miami Heat,New York Knicks,110,87,1.27,3.91,24102018_ny_mia,mia,ny
2018-10-24,Milwaukee Bucks,Philadelphia 76ers,123,108,1.43,2.91,24102018_phi_mil,mil,phi
2018-10-24,Phoenix Suns,Los Angeles Lakers,113,131,2.73,1.47,24102018_lal_phx,phx,lal
2018-10-24,Sacramento Kings,Memphis Grizzlies,97,92,2.22,1.68,24102018_mem_sac,sac,mem
2018-10-24,San Antonio Spurs,Indiana Pacers,96,116,1.8,2.04,24102018_ind_sa,sa,ind
2018-10-24,Toronto Raptors,Minnesota Timberwolves,112,105,1.25,4.1,24102018_min_tor,tor,min
